MAX 48
NODE 770 Stockport
NODE 771 Intermediate_Road
NODE 772 Dialstone_Lane/Hillcrest_Road
NODE 773 Navigation_Hotel_dep
NODE 774 Back_of_Beyond
NODE 775 Norfolk_Arms
NODE 776 Corcoran_Drive
NODE 777 Train_Station
NODE 778 Frog_and_Diver_Arms
NODE 779 Lower_Bents_Lane/Stockport_Road
NODE 780 Stockport
NODE 781 Stockport
NODE 782 Asda/Sainsbury's
NODE 783 Lower_Bents_Lane/Stockport_Road
NODE 784 Train_Station
NODE 785 Corcoran_Drive
NODE 786 Norfolk_Arms
NODE 787 Navigation_Hotel_dep
NODE 788 Dialstone_Lane/Hillcrest_Road
NODE 789 Stockport
NODE 790 Henry_Street
NODE 791 Grouse_Inn
NODE 792 Little_Hayfield
NODE 793 Hayfield
NODE 794 Grouse_Hotel
NODE 795 Printers_Arms
NODE 796 Ollerset_View_Hospital
NODE 797 Train_Station
NODE 798 New_Mills
NODE 799 Royal_Oak
NODE 800 Navigation_Hotel_dep
NODE 801 Navigation_Hotel_arr
NODE 802 Offerton_Fold
NODE 803 Stockport
NODE 804 Stockport
NODE 805 Offerton_Fold
NODE 806 Navigation_Hotel_arr
NODE 807 Navigation_Hotel_dep
NODE 808 Royal_Oak
NODE 809 New_Mills
NODE 810 Train_Station
NODE 811 Ollerset_View_Hospital
NODE 812 Printers_Arms
NODE 813 Grouse_Hotel
NODE 814 Hayfield
NODE 815 Little_Hayfield
NODE 816 Grouse_Inn
NODE 817 Henry_Street
EGDE 770 780 0
EGDE 770 781 0
EGDE 770 789 0
EGDE 770 803 0
EGDE 770 804 0
EGDE 770 771 1
EGDE 771 772 1
EGDE 772 788 0
EGDE 772 773 1
EGDE 773 787 0
EGDE 773 800 0
EGDE 773 807 0
EGDE 773 774 1
EGDE 774 775 1
EGDE 775 786 0
EGDE 775 776 1
EGDE 776 785 0
EGDE 776 777 1
EGDE 777 784 0
EGDE 777 778 1
EGDE 778 779 1
EGDE 779 783 0
EGDE 779 780 1
EGDE 780 770 0
EGDE 780 781 0
EGDE 780 789 0
EGDE 780 803 0
EGDE 780 804 0
EGDE 781 770 0
EGDE 781 780 0
EGDE 781 789 0
EGDE 781 803 0
EGDE 781 804 0
EGDE 781 782 1
EGDE 782 783 1
EGDE 783 779 0
EGDE 783 784 1
EGDE 784 777 0
EGDE 784 785 1
EGDE 785 776 0
EGDE 785 786 1
EGDE 786 775 0
EGDE 786 787 1
EGDE 787 773 0
EGDE 787 800 0
EGDE 787 807 0
EGDE 787 788 1
EGDE 788 772 0
EGDE 788 789 1
EGDE 789 770 0
EGDE 789 780 0
EGDE 789 781 0
EGDE 789 803 0
EGDE 789 804 0
EGDE 790 817 0
EGDE 790 791 1
EGDE 791 816 0
EGDE 791 792 1
EGDE 792 815 0
EGDE 792 793 1
EGDE 793 814 0
EGDE 793 794 1
EGDE 794 813 0
EGDE 794 795 1
EGDE 795 812 0
EGDE 795 796 1
EGDE 796 811 0
EGDE 796 797 1
EGDE 797 810 0
EGDE 797 798 1
EGDE 798 809 0
EGDE 798 799 1
EGDE 799 808 0
EGDE 799 800 1
EGDE 800 773 0
EGDE 800 787 0
EGDE 800 807 0
EGDE 800 801 1
EGDE 801 806 0
EGDE 801 802 1
EGDE 802 805 0
EGDE 802 803 1
EGDE 803 770 0
EGDE 803 780 0
EGDE 803 781 0
EGDE 803 789 0
EGDE 803 804 0
EGDE 804 770 0
EGDE 804 780 0
EGDE 804 781 0
EGDE 804 789 0
EGDE 804 803 0
EGDE 804 805 1
EGDE 805 802 0
EGDE 805 806 1
EGDE 806 801 0
EGDE 806 807 1
EGDE 807 773 0
EGDE 807 787 0
EGDE 807 800 0
EGDE 807 808 1
EGDE 808 799 0
EGDE 808 809 1
EGDE 809 798 0
EGDE 809 810 1
EGDE 810 797 0
EGDE 810 811 1
EGDE 811 796 0
EGDE 811 812 1
EGDE 812 795 0
EGDE 812 813 1
EGDE 813 794 0
EGDE 813 814 1
EGDE 814 793 0
EGDE 814 815 1
EGDE 815 792 0
EGDE 815 816 1
EGDE 816 791 0
EGDE 816 817 1
EGDE 817 790 0
